Raw,Day,Condition
220914_AM06_wc_14D_D1.raw,14D_D,DMSO
220914_AM06_wc_14D_D2.raw,14D_D,DMSO
220914_AM06_wc_14D_D3.raw,14D_D,DMSO
220914_AM06_wc_14D_D4.raw,14D_D,DMSO
220914_AM06_wc_14D_P2.raw,14D_PI,Proteosome
220914_AM06_wc_14D_P1.raw,14D_PI,Proteosome
220914_AM06_wc_14D_P3.raw,14D_PI,Proteosome
220914_AM06_wc_14D_P4.raw,14D_PI,Proteosome
220914_AM06_wc_14D_A1.raw,14D_AI,Lysosome
220914_AM06_wc_14D_A2.raw,14D_AI,Lysosome
220914_AM06_wc_14D_A3.raw,14D_AI,Lysosome
220914_AM06_wc_14D_A4.raw,14D_AI,Lysosome
220914_AM06_wc_14D_PA1.raw,14D_PAI,Both
220914_AM06_wc_14D_PA2.raw,14D_PAI,Both
220914_AM06_wc_14D_PA3.raw,14D_PAI,Both
220914_AM06_wc_14D_PA4.raw,14D_PAI,Both
220914_AM06_wc_7D_D1.raw,7D_D,DMSO
220914_AM06_wc_7D_D2.raw,7D_D,DMSO
220914_AM06_wc_7D_D3.raw,7D_D,DMSO
220914_AM06_wc_7D_D4.raw,7D_D,DMSO
220914_AM06_wc_7D_P1.raw,7D_PI,Proteosome
220914_AM06_wc_7D_P2.raw,7D_PI,Proteosome
220914_AM06_wc_7D_P3.raw,7D_PI,Proteosome
220914_AM06_wc_7D_P4.raw,7D_PI,Proteosome
220914_AM06_wc_7D_A1.raw,7D_AI,Lysosome
220914_AM06_wc_7D_A2.raw,7D_AI,Lysosome
220914_AM06_wc_7D_A3.raw,7D_AI,Lysosome
220914_AM06_wc_7D_A4.raw,7D_AI,Lysosome
220914_AM06_wc_7D_PA1.raw,7D_PAI,Both
220914_AM06_wc_7D_PA2.raw,7D_PAI,Both
220914_AM06_wc_7D_PA3.raw,7D_PAI,Both
220914_AM06_wc_7D_PA4.raw,7D_PAI,Both
